"id";"timestamp";"amount";"customer_id";"product_id"
"35762";"2012-09-13 00:34:09";"1,00";"661";"95"
"35766";"2012-09-13 00:36:53";"1,00";"659";"70"
"35781";"2012-09-13 01:09:07";"1,60";"709";"6"
"35782";"2012-09-13 01:09:21";"1,60";"708";"6"
"35787";"2012-09-13 01:11:23";"1,00";"511";"24"
"35797";"2012-09-13 01:24:07";"1,00";"659";"70"
"35812";"2012-09-13 01:46:28";"1,60";"715";"6"
"35813";"2012-09-13 01:46:28";"1,60";"715";"6"
"35814";"2012-09-13 01:48:31";"1,00";"590";"70"
"35831";"2012-09-15 13:14:54";"1,00";"655";"37"
"35832";"2012-09-15 13:14:59";"1,00";"590";"37"
"35833";"2012-09-15 13:15:24";"1,00";"468";"37"
"35873";"2012-09-18 20:41:35";"1,00";"617";"24"
"35886";"2012-09-18 21:00:58";"1,00";"617";"95"
"35888";"2012-09-18 21:04:44";"1,00";"652";"24"
"35906";"2012-09-18 21:17:23";"1,00";"597";"24"
"35923";"2012-09-18 21:24:09";"1,00";"474";"24"
"35937";"2012-09-18 21:30:59";"1,60";"715";"6"
"35952";"2012-09-18 21:40:41";"1,00";"651";"24"
"35972";"2012-09-18 22:03:15";"1,00";"381";"70"
"35971";"2012-09-18 22:03:15";"1,00";"381";"70"
"35975";"2012-09-18 22:04:35";"1,00";"599";"24"
"36006";"2012-09-18 22:49:30";"1,00";"381";"70"
"36007";"2012-09-18 22:49:34";"1,00";"381";"70"
"36013";"2012-09-18 22:56:33";"1,60";"652";"6"
"36042";"2012-09-19 00:00:08";"1,00";"590";"37"
"36041";"2012-09-19 00:00:08";"1,00";"468";"37"
"36045";"2012-09-19 00:00:09";"1,00";"456";"37"
"36044";"2012-09-19 00:00:09";"1,00";"475";"37"
"36043";"2012-09-19 00:00:09";"1,00";"478";"37"
"36046";"2012-09-19 00:00:10";"1,00";"615";"37"
"36052";"2012-09-19 00:16:16";"1,00";"475";"37"
"36051";"2012-09-19 00:16:16";"1,00";"475";"37"
"36053";"2012-09-19 00:16:16";"1,00";"475";"37"
"36054";"2012-09-19 00:17:44";"1,00";"475";"37"
"36055";"2012-09-19 00:17:44";"1,00";"475";"37"
"36071";"2012-09-19 22:10:34";"1,00";"658";"70"
"36078";"2012-09-19 22:15:09";"1,60";"618";"6"
"36079";"2012-09-19 22:15:27";"1,00";"617";"24"
"36104";"2012-09-19 22:39:44";"1,60";"597";"6"
"36108";"2012-09-19 22:41:33";"1,00";"680";"70"
"36107";"2012-09-19 22:41:33";"1,00";"680";"70"
"36116";"2012-09-19 22:45:59";"1,00";"617";"70"
"36126";"2012-09-19 22:53:32";"1,60";"655";"6"
"36137";"2012-09-19 23:05:03";"1,00";"658";"70"
"36138";"2012-09-19 23:05:15";"1,00";"617";"70"
"36142";"2012-09-19 23:06:14";"1,00";"680";"70"
"36148";"2012-09-19 23:12:36";"1,00";"694";"24"
"36150";"2012-09-19 23:13:03";"1,00";"633";"37"
"36149";"2012-09-19 23:13:03";"1,00";"633";"37"
"36158";"2012-09-19 23:26:31";"1,00";"658";"70"
"36162";"2012-09-19 23:30:09";"1,50";"468";"8"
"36163";"2012-09-19 23:30:20";"1,50";"201";"8"
"36166";"2012-09-19 23:34:44";"1,00";"535";"24"
"36169";"2012-09-19 23:35:41";"1,00";"475";"37"
"36168";"2012-09-19 23:35:41";"1,00";"475";"37"
"36172";"2012-09-19 23:41:13";"1,00";"641";"95"
"36174";"2012-09-19 23:42:50";"1,00";"689";"95"
"36177";"2012-09-19 23:45:02";"1,00";"658";"95"
"36178";"2012-09-19 23:45:14";"1,00";"616";"95"
"36191";"2012-09-20 00:04:37";"1,00";"703";"95"
"36193";"2012-09-20 00:14:27";"1,00";"633";"37"
"36194";"2012-09-20 00:14:27";"1,00";"633";"37"
"36200";"2012-09-20 00:25:29";"1,00";"647";"37"
"36201";"2012-09-20 00:28:48";"1,00";"692";"37"
"36202";"2012-09-20 00:30:10";"1,00";"674";"37"
"36203";"2012-09-20 00:31:30";"1,00";"633";"37"
"36213";"2012-09-20 00:46:54";"1,00";"475";"37"
"36214";"2012-09-20 00:46:58";"1,00";"475";"37"
"36215";"2012-09-20 00:47:08";"1,00";"590";"37"
"36216";"2012-09-20 00:47:10";"1,00";"590";"37"
"36293";"2012-09-21 21:36:24";"1,00";"692";"95"
"36298";"2012-09-21 22:11:22";"1,00";"390";"24"
"36299";"2012-09-21 22:11:29";"1,00";"364";"24"
"36303";"2012-09-21 22:14:21";"1,00";"340";"24"
"36304";"2012-09-21 22:14:29";"1,00";"460";"24"
"36318";"2012-09-21 23:28:02";"1,00";"390";"95"
"36324";"2012-09-21 23:45:23";"1,00";"390";"37"
"36321";"2012-09-21 23:45:23";"1,00";"201";"37"
"36322";"2012-09-21 23:45:23";"1,00";"201";"37"
"36323";"2012-09-21 23:45:23";"1,00";"390";"37"
"36326";"2012-09-21 23:45:24";"1,00";"364";"37"
"36325";"2012-09-21 23:45:24";"1,00";"364";"37"
"36327";"2012-09-21 23:45:45";"1,00";"201";"37"
"36328";"2012-09-21 23:45:45";"1,00";"201";"37"
"36330";"2012-09-21 23:46:19";"1,00";"390";"37"
"36329";"2012-09-21 23:46:19";"1,00";"390";"37"
